,station_name,lat,long
448,Halsted St & Roosevelt Rd,41.8672516,-87.6485561
449,Clinton St & Polk St ,41.8715253,-87.640989
450,Elizabeth St & 47th St,41.8084703,-87.6565428
451,University Library (NU,42.0529892,-87.6734197
452,Walsh Park,52.25475635,-7.128650362661672
453,Bernard St & Elston Av,41.9500586,-87.7139839
454,Clark St & Lunt Av,42.0090524,-87.6741983
455,Wentworth Ave & 24th St,41.849237,-87.631715
456,Halsted St & Maxwell St,41.86458,-87.64693
457,Valli Produce - Evanston Plaza,42.0396994,-87.6993644
458,Chicago Ave & Washington St,42.0325958,-87.6792508
459,Western Ave & Howard St,42.364799,-71.110649
460,Rhodes Ave & 32nd St,41.836208,-87.613533
461,Montrose Harbor,41.96105885,-87.63923462281907
462,Western Ave & 28th St,41.8413975,-87.6850858
463,Christiana Ave & Lawrence Av,41.9683514,-87.7119895
464,Budlong Woods Library,41.9837411,-87.6964011
465,Damen Ave & Cullerton St,41.855005,-87.6756509
466,Perry Ave & 69th St,41.7691931,-87.6283657
467,Greenwood Ave & 47th St,41.809835,-87.599383
468,Maplewood Ave & Peterson Av,41.990265,-87.6933973
469,Indiana Ave & 26th St,41.8457,-87.62248
470,Princeton Ave & Garfield Blvd,41.7946646,-87.6331271
471,Cottage Grove Ave & Oakwood Blvd,41.822985,-87.6071
472,South Shore Dr & 71st St,41.7662185,-87.565831
473,2112 W Peterson Av,41.9909647,-87.6828426
474,MLK Jr Dr & 56th St ,41.7934435,-87.6158204
475,Jeffery Blvd & 67th St,41.7735292,-87.5773955
476,Milwaukee Ave & Cuyler Av,41.9544827,-87.7495473
477,Laramie Ave & Madison St,41.8802408,-87.7554498
478,Keystone Ave & Montrose Av,41.9611194,-87.728969
479,Kedzie Ave & Chicago Av,41.8954676,-87.7061436
480,Ashland Ave & McDowell Av,41.8088381,-87.6645814
481,Hoyne Ave & 47th St,41.8082668,-87.6772694
482,Central St & Girard Av,42.0640138,-87.6861495
483,South Shore Dr & 67th St,41.7736383,-87.5672232
484,Kedzie Ave & Roosevelt Rd,41.8665222,-87.7065483
485,Paulina St & Howard St,42.0191393,-87.6735853
486,Cottage Grove Ave & 47th St,41.809855,-87.606755
487,Western Ave & Fillmore St ,41.8684773,-87.6862887
488,Stony Island Ave & 67th St,41.7734222,-87.5853414
489,Damen Ave & Walnut (Lake) St ,,
490,Clark St & Jarvis Av,42.0159544,-87.6750216
491,Smith Park ,31.9487415,-102.2735346
492,Warren Park West,42.001775,-87.6886927
493,Princeton Ave & 47th St,41.809306,-87.633475
494,Western Ave & Granville Av,41.9941724,-87.6895403
495,Leavitt St & Belmont Ave ,41.9393726,-87.6832597
496,Avers Ave & Belmont Av,41.9393888,-87.7235814
497,Ridge Blvd & Touhy Av,42.01218,-87.6829136
498,California Ave & 21st St,41.854016,-87.695445
499,St. Louis Ave & Balmoral Av,,
500,Lake Park Ave & 35th St,,
501,Clark St & Touhy Av,42.012584,-87.6743049
502,Chicago Ave & Sheridan Rd,42.0502307,-87.6779097
503,Albany Ave & Montrose Av,41.9610559,-87.705882
504,Prairie Ave & 43rd St,41.816662,-87.6193773
